Mês;vivara: (Brasil);H. Stern: (Brasil);Pandora: (Brasil)
2015-01;28;4;21
2015-02;31;4;22
2015-03;36;4;30
2015-04;35;4;28
2015-05;37;5;29
2015-06;41;5;28
2015-07;35;4;26
2015-08;32;4;24
2015-09;35;4;25
2015-10;38;4;25
2015-11;54;4;30
2015-12;65;5;39
2016-01;36;4;26
2016-02;35;4;26
2016-03;35;4;27
2016-04;34;4;25
2016-05;38;4;26
2016-06;37;4;23
2016-07;33;4;22
2016-08;28;3;18
2016-09;32;3;20
2016-10;30;3;20
2016-11;54;5;29
2016-12;62;5;34
2017-01;37;3;24
2017-02;31;3;22
2017-03;37;4;26
2017-04;35;4;25
2017-05;39;4;27
2017-06;41;4;26
2017-07;34;3;24
2017-08;36;3;22
2017-09;32;4;22
2017-10;35;4;23
2017-11;62;4;32
2017-12;59;4;35
2018-01;36;3;27
2018-02;34;3;25
2018-03;32;3;28
2018-04;34;3;25
2018-05;39;4;27
2018-06;40;3;31
2018-07;34;3;23
2018-08;36;3;25
2018-09;32;3;23
2018-10;33;3;24
2018-11;70;3;32
2018-12;68;4;36
2019-01;38;3;26
2019-02;32;2;27
2019-03;36;3;24
2019-04;37;3;29
2019-05;46;3;27
2019-06;45;3;33
2019-07;36;3;25
2019-08;36;3;26
2019-09;35;3;27
2019-10;43;3;26
2019-11;63;3;39
2019-12;72;3;42
2020-01;40;2;31
2020-02;34;2;27
2020-03;31;2;23
2020-04;31;2;23
2020-05;49;2;27
2020-06;57;3;31
2020-07;48;2;24
2020-08;39;3;22
2020-09;38;2;25
2020-10;37;2;25
2020-11;73;3;43
2020-12;73;3;46
2021-01;45;2;31
2021-02;35;2;27
2021-03;33;2;23
2021-04;36;2;24
2021-05;45;2;26
2021-06;50;2;29
2021-07;32;2;23
2021-08;34;2;21
2021-09;35;2;24
2021-10;34;2;31
2021-11;71;3;31
2021-12;71;2;39
2022-01;45;2;56
2022-02;40;2;30
2022-03;44;2;24
2022-04;44;2;25
2022-05;46;2;26
2022-06;52;2;27
2022-07;44;2;26
2022-08;48;2;23
2022-09;38;2;20
2022-10;40;2;28
2022-11;100;2;33
2022-12;89;2;42
2023-01;51;1;36
