;cias;23/09/2022;26/09/2022;20/10/2022;17/11/2022;12/12/2022
0;Centauro- Loja teste;7.1;7.1;7.2;7.4;7.4
1;Decathlon - Loja Física;3.8;3.8;4.6;5.3;6.0
2;BTG Banking;7.2;7.2;7.0;7.1;6.8
3;XP Investimentos;8.0;8.0;8.0;8.0;8.0
4;Banco PAN;7.7;7.7;7.7;7.7;7.7
5;Inter;8.1;8.1;8.1;8.1;8.1
6;BTG Investimentos;8.6;8.6;8.6;8.6;8.6
7;C6 Bank;6.6;6.6;6.6;6.6;6.6
8;Nubank;8.3;8.3;8.3;8.3;8.4
9;Banco Itaú;7.4;7.4;7.3;7.4;7.3
10;Banco Bradesco;6.3;6.3;6.2;6.3;6.2
11;Banco do Brasil;7.5;7.5;7.6;7.6;7.6
12;Banco Santander;7.1;7.1;7.0;6.9;6.8
13;Banco Bmg;7.9;7.9;7.8;7.8;7.9
14;Unidas Aluguel de Carros;8.6;8.6;8.6;8.6;8.6
15;Localiza;8.9;8.9;9.0;8.9;8.8
16;Movida Rent a Car;7.6;7.6;7.8;7.7;7.5
17;Drogaria Araujo;7.7;7.7;7.6;7.5;7.6
18;Araújo;8.5;8.5;8.4;8.4;8.4
19;Droga Raia;8.2;8.2;8.4;8.5;8.5
20;Panvel;8.6;8.6;8.6;8.7;8.6
21;Drogasmil;6.3;6.3;6.5;6.5;6.9
22;Drogaria RosÃ¡rio;6.7;6.7;6.2;6.4;5.8
23;Drogarias Tamoio;6.4;6.4;6.2;6.4;5.8
24;Hering - Lojas FÃ­sicas;9.3;9.3;9.3;9.2;9.2
25;Arezzo - Loja FÃ­sicas;7.1;7.1;6.9;7.0;7.5
26;Lojas Renner;8.0;8.0;8.0;8.0;8.0
27;Lojas Riachuelo e Midway Financeira;8.6;8.6;8.6;8.7;8.7
28;C&A;8.1;8.1;7.9;8.0;8.1
29;Netshoes;8.5;8.5;8.4;8.4;8.3
30;Lojas Marisa - Loja FÃ­sica;8.7;8.7;8.7;8.7;8.8
31;Track&Field;7.9;7.9;8.5;8.8;9.0
32;Youcom;9.0;9.0;9.0;8.9;9.2
33;TAURUS ARMAS;9.1;9.1;9.1;9.0;8.9
34;KFC;7.5;7.5;7.6;7.6;7.5
35;Pizza Hut;6.6;6.6;6.4;6.3;6.5
36;Dominos Pizza;7.1;7.1;7.2;7.2;7.0
37;Burger King;7.8;7.8;7.9;7.8;7.8
38;Popeyes - Louisiana Kitchen;7.4;7.3;7.3;7.3;6.8
39;McDonalds;5.3;5.3;5.6;6.1;6.1
40;Frango Assado;6.8;6.6;7.0;6.5;6.3
41;Outback;8.1;8.1;8.2;8.2;8.1
42;Restaurante Madero;8.1;8.1;8.0;8.4;8.5
43;Bobs;;6.2;6.6;6.8;6.5
44;PÃ£o de AÃ§Ãºcar;;7.9;7.9;7.8;7.6
45;Nike - Loja Online;7.3;6.8;6.3;5.9;5.4
46;Nike - Loja Fisica;5;4.7;4.4;4.2;3.9
