;SUV;SUV Compacto;Mix Movida;Intermediario Automatico;Entrada;
nov-22; 4.615 ; 3.340 ; 2.766 ; 2.286 ; 1.630 ;
nov-22; 4.615 ; 3.340 ; 2.766 ; 2.286 ; 1.630 ;
nov-22; 4.615 ; 3.340 ; 2.786 ; 2.354 ; 1.630 ;
nov-22; 4.615 ; 3.340 ; 2.807 ; 2.354 ; 1.700 ;
nov-22; 4.615 ; 3.340 ; 2.807 ; 2.354 ; 1.700 ;
nov-22; 4.615 ; 3.340 ; 2.786 ; 2.354 ; 1.630 ;
nov-22; 4.615 ; 3.340 ; 2.786 ; 2.354 ; 1.630 ;
nov-22; 4.615 ; 3.340 ; 2.786 ; 2.354 ; 1.630 ;
nov-22; 4.615 ; 3.340 ; 2.786 ; 2.354 ; 1.630 ;
nov-22; 4.615 ; 3.340 ; 2.786 ; 2.354 ; 1.630 ;
nov-22; 4.615 ; 3.340 ; 2.786 ; 2.354 ; 1.630 ;
nov-22; 4.615 ; 3.340 ; 2.786 ; 2.354 ; 1.630 ;
nov-22; 4.615 ; 3.340 ; 2.786 ; 2.354 ; 1.630 ;
nov-22; 4.615 ; 3.340 ; 2.787 ; 2.358 ; 1.630 ;
nov-22; 4.615 ; 3.340 ; 2.776 ; 2.320 ; 1.630 ;
dez-22; 4.615 ; 3.340 ; 2.794 ; 2.380 ; 1.630 ;
dez-22; 4.675 ; 3.340 ; 2.806 ; 2.380 ; 1.630 ;
dez-22; 4.675 ; 3.340 ; 2.806 ; 2.380 ; 1.630 ;
dez-22; 4.675 ; 3.340 ; 2.806 ; 2.380 ; 1.630 ;
dez-22; 4.675 ; 3.340 ; 2.806 ; 2.380 ; 1.630 ;
dez-22; 4.675 ; 3.340 ; 2.806 ; 2.380 ; 1.630 ;
dez-22; 4.675 ; 3.340 ; 2.806 ; 2.380 ; 1.630 ;
dez-22; 4.675 ; 3.340 ; 2.806 ; 2.380 ; 1.630 ;
dez-22; 4.675 ; 3.340 ; 2.825 ; 2.445 ; 1.630 ;
dez-22; 4.675 ; 3.340 ; 2.841 ; 2.496 ; 1.630 ;
dez-22; 4.675 ; 3.340 ; 2.841 ; 2.496 ; 1.630 ;
dez-22; 4.675 ; 3.340 ; 2.841 ; 2.496 ; 1.630 ;
dez-22; 4.675 ; 3.340 ; 2.841 ; 2.496 ; 1.630 ;
jan-23; 4.645 ; 3.370 ; 2.845 ; 2.500 ; 1.640 ;
jan-23; 4.645 ; 3.370 ; 2.845 ; 2.500 ; 1.640 ;
