Mês;Localiza: (Brasil);Unidas Aluguel de Carros: (Brasil);Movida: (Brasil)
2015-01;46;11;6
2015-02;37;10;6
2015-03;35;9;6
2015-04;36;9;6
2015-05;34;9;7
2015-06;34;9;8
2015-07;37;10;9
2015-08;35;9;9
2015-09;37;10;9
2015-10;40;10;9
2015-11;40;10;9
2015-12;54;13;11
2016-01;39;10;10
2016-02;34;9;9
2016-03;33;8;9
2016-04;34;8;10
2016-05;35;9;11
2016-06;33;9;12
2016-07;40;10;12
2016-08;36;9;11
2016-09;36;10;12
2016-10;41;11;14
2016-11;47;12;14
2016-12;55;13;17
2017-01;50;11;18
2017-02;40;10;17
2017-03;43;10;17
2017-04;39;9;17
2017-05;39;9;16
2017-06;48;10;19
2017-07;49;11;20
2017-08;45;11;19
2017-09;50;12;24
2017-10;53;12;21
2017-11;56;12;20
2017-12;68;16;30
2018-01;60;14;25
2018-02;54;12;21
2018-03;52;12;22
2018-04;50;11;20
2018-05;49;12;20
2018-06;46;12;21
2018-07;55;14;22
2018-08;51;13;22
2018-09;56;14;23
2018-10;57;15;24
2018-11;65;17;25
2018-12;90;23;30
2019-01;78;21;28
2019-02;72;20;27
2019-03;70;20;25
2019-04;62;18;24
2019-05;63;17;23
2019-06;64;17;27
2019-07;71;23;27
2019-08;67;21;25
2019-09;70;20;26
2019-10;73;23;28
2019-11;78;24;30
2019-12;99;30;36
2020-01;85;29;30
2020-02;80;26;31
2020-03;66;21;23
2020-04;43;13;16
2020-05;45;16;18
2020-06;50;16;19
2020-07;56;18;22
2020-08;64;20;24
2020-09;72;25;27
2020-10;76;24;30
2020-11;64;23;26
2020-12;77;25;29
2021-01;71;22;27
2021-02;62;20;23
2021-03;43;15;17
2021-04;43;14;18
2021-05;48;16;19
2021-06;52;17;20
2021-07;58;20;22
2021-08;55;17;20
2021-09;53;18;24
2021-10;54;18;23
2021-11;54;19;23
2021-12;63;21;26
2022-01;61;19;23
2022-02;60;20;26
2022-03;57;20;31
2022-04;54;18;27
2022-05;52;17;28
2022-06;56;19;27
2022-07;59;21;28
2022-08;60;17;32
2022-09;62;17;30
2022-10;62;16;30
2022-11;72;16;34
2022-12;85;20;39
2023-01;100;22;40
