Marca;Média
LANCER SYSTEMS;6437,50
WILSON COMBAT;3088,95
BERGARA;2899,00
ED BROWN;2578,74
AGENCY ARMS LLC;2469,99
ZENITH FIREARMS;2292,24
LES BAER CUSTOM;2267,49
B&T USA;2131,99
GEISSELE AUTOMATICS LLC;2037,40
PTR INDUSTRIES INC.;1989,99
BLACK RAIN ORDNANCE INC.;1729,99
DAN WESSON;1717,99
ZEV TECHNOLOGIES;1485,91
VOLQUARTSEN;1478,67
COLT;1367,51
SIG SAUER, INC.;1195,83
HECKLER & KOCH;1141,22
KIMBER MFG.;1112,13
F-1 FIREARMS LLC;1099,99
CENTURY INTERNATIONAL ARMS;1025,92
CZ USA;987,52
HENRY REPEATING ARMS;969,99
ZASTAVA ARMS USA;955,99
FN;951,08
BERETTA USA;909,50
TROY INDUSTRIES, INC.;906,66
SPRINGFIELD ARMORY;794,06
SMITH & WESSON;790,34
UBERTI;786,66
FN AMERICA LLC;767,51
FOXTROT MIKE PRODUCTS;689,99
WALTHER ARMS INC;632,86
RUGER;623,62
CHIAPPA FIREARMS;614,99
LONE WOLF DIST.;608,79
GLOCK;568,77
CANIK;567,80
ROCK ISLAND ARMORY;559,99
TAYLORS & COMPANY, INC.;537,77
BROWNING ARMS CO.;509,99
MOSSBERG;482,24
O.F. MOSSBERG & SONS, INC.;476,00
SAVAGE ARMS;454,99
CHARTER ARMS;410,99
TAURUS;381,28
BERSA;329,99
ATI;290,32
SCCY INDUSTRIES, LLC;213,99
HERITAGE;174,93
HIGH POINT PRODUCTS;159,99
