;cias;11/12/2022;09/01/2023
0;BTG Pactual;4;4
1;XP Inc.;4,1;4,1
2;Banco PAN;4,5;4,5
3;Inter;4,3;4,1
4;C6 Bank;4,4;4,4
5;Nubank;4,4;4,4
6;Itau Unibanco (Itau BBA e Rede);4,5;4,5
7;Bradesco;4,2;4,2
8;Santander;3,9;3,9
9;Banco do Brasil;4,2;4,2
10;Banco BMG;4,2;4,2
11;Grupo SBF;4;4
12;Netshoes;4,4;4,4
13;Cia. Hering;3,8;3,8
14;Arezzo;3,8;3,8
15;Lojas Renner;4;4
16;Guararapes Confecoes;4,4;4,4
17;Marisa;3,7;3,7
18;Track & Field;3,9;3,9
19;Mater Dei Hospital;;3,8
20;Rede D'Or Sao Luiz;;3,7
21;Dasa;;4
22;Blau Farmaceutica;;3,2
23;EDP Energias do Brasil;;4,3
24;Light (Brazil);;3,7
25;Alupar;;3,9
26;Equatorial Energia;;4,1
27;Grupo JSL;;3,9
28;Grupo Vamos;;4
29;Movida Aluguel de Carros;;3,7
30;Localiza&Co;;4,7
31;Empresas Randon;;4,2
32;Fras-le;;4,5
33;Tupy;;4
34;Taurus (Brazil);;3,3
35;Grupo Ambipar;;3,4
36;Wiz Solucoes;;4,4
37;Vivara;;3,9
38;Pao de Acucar;;4,1
39;Azul - Linhas Aereas Brasileiras;;4,2
40;GOL Linhas Aereas;;4,2
41;Latam Linhas Aereas;;4,1
42;PRIO;;3,9
43;PetroReconcavo;;4,2
44;3R Petroleum;;4,1
45;Petrobras;;4,4
46;Celulose Irani;;4,7
47;Suzano;;4,5
48;Klabin;;4,3
49;JBS (Brazil);;3,8
50;BRF;;4
51;Marfrig;;3,7
52;Meta;;4,1
53;Twitter;;3,5
54;Snap;;4
55;Google;;4,5
56;Apple;;4,7
57;Aliansce Sonae;;4,1
58;Multiplan Empreendimentos;;4,5
59;Profarma Distribuidora;;3,6
60;Raia Drogasil;;3,7
