;cias;21/10/2022;17/11/2022;13/12/2022
0;BTG Banking;4,8;4,8;4,8
1;BTG Investimentos;4,2;4,1;4,2
2;XP INVESTIMENTOS CCTVM S.A.;4,5;4,5;4,4
3;Banco Pan;4,1;4;4
4;Banco Inter SA;4,7;4,7;4,7
5;Nu;4,7;4,6;4,6
6;NuInvest;4,8;4,7;4,6
7;C6 Bank;3,6;3,6;3,5
8;Itau Unibanco S. A.;4,4;4,4;4,4
9;Banco Bradesco SA;4,5;4,5;4,5
10;Banco Santander (Brasil) S.A.;4,3;4,3;4,3
11;Banco do Brasil SA;4,5;4,4;4,4
12;BMG Banco Digital;4;4;3,9
13;LOCALIZA;4,5;4,5;4,5
14;Unidas S.A.;3,9;4;4
15;Movida;4,2;4,2;4,2
16;Grupo Netshoes;4;4;3,9
17;adidas;4,8;4,7;4,7
18;Nike, Inc.;4,6;4,6;4,6
19;Zara;4,8;4,8;4,8
20;Arezzo;4,6;4,6;4,7
21;Lojas Renner;4,6;4,6;4,7
22;Lojas Marisa;4,6;4,6;4,6
23;Dafiti;4,6;4,6;4,6
24;Shein;4,7;4,7;4,7
25;Mercado Libre;4,6;4,6;4,6
26;Americanas ;4,5;4,6;4,6
27;Via Varejo S.A.;4,7;4,7;4,7
28;Amazon Mobile LLC;4,5;4,5;4,4
29;Pao de Acucar Mais;4,4;4,4;4,4
30;Clube Extra;4;4,1;4,1
31;Raia Drogasil S.A.;4;4;4
32;Raia Drogaraia S.A.;3,5;3,5;3,4
33;Centauro Esportes - Grupo SBF S/A;;;4,3


